GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bankapp-core,bankapp.core,Bill,28,0,2,0,10,0,5,0,4,0
bankapp-core,bankapp.core,Balance,0,42,0,6,0,11,0,7,0,4
bankapp-core,bankapp.core,Account,18,111,1,7,6,28,4,12,3,9
bankapp-core,bankapp.core,FileManagement,164,0,8,0,49,0,9,0,5,0
bankapp-core,bankapp.core,Profile,69,1223,15,27,14,41,20,15,7,7
bankapp-core,bankapp.core,BankCard,3,73,1,5,1,16,1,7,0,5
